name;tarantula;ochiai;dstar;faulty
org.joda.time.DateMidnight.DateMidnight(long,Chronology);0.0;0.0;0.0;False
org.joda.time.LocalDate.getYear() : int;0.0;0.0;0.0;False
org.joda.time.chrono.GJEraDateTimeField.getAsText(int,Locale) : String;0.0;0.0;0.0;False
org.joda.time.chrono.gj.TestGJChronology.fixedFromMillis(long) : long;0.0;0.0;0.0;False
org.joda.time.LocalTime.compareTo(ReadablePartial) : int;0.0;0.0;0.0;False
org.joda.time.format.ISODateTimeFormat.basicTTimeNoMillis() : DateTimeFormatter;0.0;0.0;0.0;False
org.joda.time.chrono.AssembledChronology.weekOfWeekyear() : DateTimeField;0.0;0.0;0.0;False
org.joda.time.TimeOfDay.Property.get() : int;0.0;0.0;0.0;False
org.joda.time.chrono.gj.TestGJDateTimeField.TestGJDateTimeField(DateTimeFieldType,long,TestGJChronology);0.0;0.0;0.0;False
org.joda.time.format.DateTimeFormatterBuilder.TimeZoneId.printTo(Writer,ReadablePartial,Locale) : void;0.0;0.0;0.0;False
org.joda.time.chrono.BasicYearDateTimeField.getMinimumValue() : int;0.9566666666666666;0.07392212709545729;0.005494505494505495;False
org.joda.time.chrono.GregorianChronology.getAverageMillisPerMonth() : long;0.0;0.0;0.0;False
org.joda.time.field.DelegatedDateTimeField.addWrapPartial(ReadablePartial,int,int[],int) : int[];0.0;0.0;0.0;False
org.joda.time.tz.DateTimeZoneBuilder.RuleSet.addRule(Rule) : void;0.0;0.0;0.0;False
org.joda.time.format.PeriodFormatterBuilder.FieldFormatter.printTo(StringBuffer,ReadablePeriod,Locale) : void;0.0;0.0;0.0;False
org.joda.time.chrono.AssembledChronology.minuteOfHour() : DateTimeField;0.0;0.0;0.0;False
org.joda.time.field.DelegatedDateTimeField.getAsText(long,Locale) : String;0.0;0.0;0.0;False
org.joda.time.format.PeriodFormatterBuilder.Composite.decompose(List<Object>,List<Object>,List<Object>) : void;0.0;0.0;0.0;False
org.joda.time.chrono.LimitChronology.LimitDateTimeField.getLeapDurationField() : DurationField;0.0;0.0;0.0;False
org.joda.time.convert.ReadablePartialConverter.getSupportedType() : Class<?>;0.0;0.0;0.0;False
org.joda.time.MutableDateTime.addWeeks(int) : void;0.0;0.0;0.0;False
org.joda.time.Seconds.parseSeconds(String) : Seconds;0.0;0.0;0.0;False
org.joda.time.tz.DateTimeZoneBuilder.setFixedSavings(String,int) : DateTimeZoneBuilder;0.0;0.0;0.0;False
org.joda.time.MutableDateTime.setDate(long) : void;0.0;0.0;0.0;False
org.joda.time.chrono.IslamicChronology.IslamicChronology(Chronology,Object,LeapYearPatternType);0.0;0.0;0.0;False
org.joda.time.TimeOfDay.fromMillisOfDay(long) : TimeOfDay;0.0;0.0;0.0;False
org.joda.time.field.BaseDateTimeField.getMaximumShortTextLength(Locale) : int;0.0;0.0;0.0;False
org.joda.time.field.ZeroIsMaxDateTimeField.add(long,int) : long;0.0;0.0;0.0;False
org.joda.time.convert.StringConverter.getSupportedType() : Class<?>;0.0;0.0;0.0;False
org.joda.time.chrono.BasicWeekyearDateTimeField.getLeapAmount(long) : int;0.0;0.0;0.0;False
org.joda.time.tz.DateTimeZoneBuilder.PrecalculatedZone.writeTo(DataOutput) : void;0.0;0.0;0.0;False
org.joda.time.DateTime.DateTime(int,int,int,int,int,Chronology);0.0;0.0;0.0;False
org.joda.time.Days.getDays() : int;0.0;0.0;0.0;False
org.joda.time.format.ISODateTimeFormat.weekyear() : DateTimeFormatter;0.0;0.0;0.0;False
org.joda.time.MutablePeriod.setYears(int) : void;0.0;0.0;0.0;False
org.joda.time.LocalDateTime.get(DateTimeFieldType) : int;0.0;0.0;0.0;False
org.joda.time.TimeOfDay.TimeOfDay(DateTimeZone);0.0;0.0;0.0;False
org.joda.time.field.MillisDurationField.getValue(long) : int;0.0;0.0;0.0;False
org.joda.time.chrono.GJChronology.CutoverField.getAsText(long,Locale) : String;0.0;0.0;0.0;False
org.joda.time.YearMonthDay.Property.setCopy(String,Locale) : YearMonthDay;0.0;0.0;0.0;False
org.joda.time.field.ImpreciseDateTimeField.LinkedDurationField.isPrecise() : boolean;0.0;0.0;0.0;False
org.joda.time.DateMidnight.weekOfWeekyear() : Property;0.0;0.0;0.0;False
org.joda.time.format.PeriodFormatter.PeriodFormatter(PeriodPrinter,PeriodParser);0.0;0.0;0.0;False
org.joda.time.chrono.BasicMonthOfYearDateTimeField.add(long,long) : long;0.0;0.0;0.0;False
org.joda.time.chrono.ZonedChronology.ZonedDateTimeField.isLenient() : boolean;0.0;0.0;0.0;False
org.joda.time.format.DateTimeFormatterBuilder.CharacterLiteral.parseInto(DateTimeParserBucket,String,int) : int;0.0;0.0;0.0;False
org.joda.time.base.BasePartial.BasePartial(long);0.0;0.0;0.0;False
org.joda.time.chrono.ZonedChronology.ZonedDurationField.getUnitMillis() : long;0.0;0.0;0.0;False
org.joda.time.field.PreciseDurationField.PreciseDurationField(DurationFieldType,long);0.0;0.0;0.0;False
org.joda.time.format.ISODateTimeFormat.Constants.basicDate() : DateTimeFormatter;0.0;0.0;0.0;False
org.joda.time.field.AbstractReadableInstantFieldProperty.getAsString() : String;0.0;0.0;0.0;False
org.joda.time.YearMonth.toInterval() : Interval;0.0;0.0;0.0;False
org.joda.time.base.BaseInterval.BaseInterval(ReadablePeriod,ReadableInstant);0.0;0.0;0.0;False
org.joda.time.format.ISODateTimeFormat.basicTime() : DateTimeFormatter;0.0;0.0;0.0;False
org.joda.time.chrono.GJYearOfEraDateTimeField.getMaximumValue() : int;0.0;0.0;0.0;False
org.joda.time.field.AbstractPartialFieldProperty.getName() : String;0.0;0.0;0.0;False
org.joda.time.chrono.BasicYearDateTimeField.roundFloor(long) : long;0.0;0.0;0.0;False
org.joda.time.base.AbstractInterval.isAfter(ReadableInstant) : boolean;0.0;0.0;0.0;False
org.joda.time.convert.ConverterManager.getDurationConverter(Object) : DurationConverter;0.0;0.0;0.0;False
org.joda.time.format.ISODateTimeFormat.dateByMonth(DateTimeFormatterBuilder,Collection<DateTimeFieldType>,boolean,boolean) : boolean;0.0;0.0;0.0;False
org.joda.time.base.AbstractPeriod.toString(PeriodFormatter) : String;0.0;0.0;0.0;False
org.joda.time.TimeOfDay.Property.addNoWrapToCopy(int) : TimeOfDay;0.0;0.0;0.0;False
org.joda.time.MonthDay.MonthDay(DateTimeZone);0.0;0.0;0.0;False
org.joda.time.format.DateTimeParserBucket.DateTimeParserBucket(long,Chronology,Locale,Integer,int);0.0;0.0;0.0;False
org.joda.time.Days.readResolve() : Object;0.0;0.0;0.0;False
org.joda.time.Period.toStandardMinutes() : Minutes;0.0;0.0;0.0;False
org.joda.time.field.DelegatedDurationField.getValueAsLong(long) : long;0.0;0.0;0.0;False
org.joda.time.tz.DateTimeZoneBuilder.DateTimeZoneBuilder();0.0;0.0;0.0;False
org.joda.time.chrono.ZonedChronology.ZonedDateTimeField.hashCode() : int;0.0;0.0;0.0;False
org.joda.time.chrono.GJLocaleSymbols.forLocale(Locale) : GJLocaleSymbols;0.0;0.0;0.0;False
org.joda.time.MutableDateTime.addMonths(int) : void;0.0;0.0;0.0;False
org.joda.time.format.ISODateTimeFormat.Constants.basicDateTime() : DateTimeFormatter;0.0;0.0;0.0;False
org.joda.time.convert.AbstractConverter.toString() : String;0.0;0.0;0.0;False
org.joda.time.LocalDate.toDateTimeAtCurrentTime(DateTimeZone) : DateTime;0.0;0.0;0.0;False
org.joda.time.chrono.ISOYearOfEraDateTimeField.remainder(long) : long;0.0;0.0;0.0;False
org.joda.time.LocalTime.withPeriodAdded(ReadablePeriod,int) : LocalTime;0.0;0.0;0.0;False
org.joda.time.chrono.gj.TestJulianWeekyearField.getMinimumValue() : int;0.0;0.0;0.0;False
org.joda.time.format.ISODateTimeFormat.Constants.basicTimeNoMillis() : DateTimeFormatter;0.0;0.0;0.0;False
org.joda.time.chrono.ZonedChronology.ZonedDateTimeField.getRangeDurationField() : DurationField;0.0;0.0;0.0;False
org.joda.time.MutablePeriod.MutablePeriod(ReadableInstant,ReadableDuration);0.0;0.0;0.0;False
org.joda.time.format.DateTimeFormatter.getChronology() : Chronology;0.0;0.0;0.0;False
org.joda.time.base.BasePartial.getValue(int) : int;0.0;0.0;0.0;False
org.joda.time.IllegalFieldValueException.getIllegalNumberValue() : Number;0.0;0.0;0.0;False
org.joda.time.Minutes.getMinutes() : int;0.0;0.0;0.0;False
org.joda.time.format.DateTimeFormatterBuilder.appendDecimal(DateTimeFieldType,int,int) : DateTimeFormatterBuilder;0.0;0.0;0.0;False
org.joda.time.tz.DateTimeZoneBuilder.Transition.Transition(long,Rule,int);0.0;0.0;0.0;False
org.joda.time.field.ImpreciseDateTimeField.LinkedDurationField.getMillis(long,long) : long;0.0;0.0;0.0;False
org.joda.time.chrono.LimitChronology.hashCode() : int;0.0;0.0;0.0;False
org.joda.time.field.OffsetDateTimeField.getOffset() : int;0.0;0.0;0.0;False
org.joda.time.base.AbstractInstant.isEqual(ReadableInstant) : boolean;0.0;0.0;0.0;False
org.joda.time.MonthDay.now() : MonthDay;0.0;0.0;0.0;False
org.joda.time.tz.DateTimeZoneBuilder.OfYear.writeTo(DataOutput) : void;0.0;0.0;0.0;False
org.joda.time.Instant.plus(long) : Instant;0.0;0.0;0.0;False
org.joda.time.field.RemainderDateTimeField.roundHalfEven(long) : long;0.0;0.0;0.0;False
org.joda.time.LocalDateTime.minusWeeks(int) : LocalDateTime;0.0;0.0;0.0;False
org.joda.time.base.BasePeriod.addPeriod(ReadablePeriod) : void;0.0;0.0;0.0;False
org.joda.time.chrono.gj.TestJulianYearField.getMinimumValue() : int;0.0;0.0;0.0;False
