version;id;name;faulty;ef;ep;nf;np;tarantula;ochiai;tarantula_rank;ochiai_rank
23;460;org.joda.time.DateTimeZone.forTimeZone(java.util.TimeZone);False;1;6;0;3822;0.998435054773083;0.3779644730092272;1.5;1.5
23;461;org.joda.time.DateTimeZone.getConvertedId(java.lang.String);True;1;6;0;3822;0.998435054773083;0.3779644730092272;1.5;1.5
23;13;org.joda.time.tz.ZoneInfoProvider.getZone(java.lang.String);False;1;131;0;3697;0.9669108360697144;0.08703882797784893;3.0;3.0
23;35;org.joda.time.DateTimeZone.getID();False;1;528;0;3300;0.8787878787878788;0.043478260869565216;4.0;4.0
23;548;org.joda.time.DateTimeZone.setDefault(org.joda.time.DateTimeZone);False;1;2884;0;944;0.5703218116805722;0.01861774558335637;5.0;5.0
23;459;org.joda.time.DateTimeZone.getDefault();False;1;3157;0;671;0.5480314960629922;0.017794833841959616;6.0;6.0
23;1277;org.joda.time.DateTime$Property.withMaximumValue();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;666;org.joda.time.DateTime(long);False;0;113;1;3715;0.0;0.0;1729.5;1729.5
23;172;org.joda.time.chrono.AssembledChronology.months();False;0;621;1;3207;0.0;0.0;1729.5;1729.5
23;3014;org.joda.time.tz.DateTimeZoneBuilder$Transition.getNameKey();False;0;7;1;3821;0.0;0.0;1729.5;1729.5
23;3306;org.joda.time.format.DateTimeFormatter.printTo(java.lang.Appendable,org.joda.time.ReadableInstant);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;1243;org.joda.time.field.AbstractReadableInstantFieldProperty.getDifferenceAsLong(org.joda.time.ReadableInstant);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;462;org.joda.time.chrono.GJChronology.getInstance();False;0;24;1;3804;0.0;0.0;1729.5;1729.5
23;2859;org.joda.time.MonthDay(org.joda.time.DateTimeZone);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;1055;org.joda.time.base.AbstractDateTime.getCenturyOfEra();False;0;7;1;3821;0.0;0.0;1729.5;1729.5
23;1286;org.joda.time.field.AbstractReadableInstantFieldProperty.getMinimumValueOverall();False;0;44;1;3784;0.0;0.0;1729.5;1729.5
23;1730;org.joda.time.format.PeriodFormatterBuilder$Separator.parseInto(org.joda.time.ReadWritablePeriod,java.lang.String,int,java.util.Locale);False;0;70;1;3758;0.0;0.0;1729.5;1729.5
23;2947;org.joda.time.tz.CachedDateTimeZone.getNameKey(long);False;0;23;1;3805;0.0;0.0;1729.5;1729.5
23;1498;org.joda.time.DateMidnight.plusYears(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;3030;org.joda.time.DateMidnight$Property.writeObject(java.io.ObjectOutputStream);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;3004;org.joda.time.tz.DateTimeZoneBuilder.addTransition(java.util.ArrayList,org.joda.time.tz.DateTimeZoneBuilder$Transition);False;0;7;1;3821;0.0;0.0;1729.5;1729.5
23;1434;org.joda.time.MutableDateTime$Property.roundHalfCeiling();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;3227;org.joda.time.field.UnsupportedDateTimeField.getAsText(long);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2096;org.joda.time.LocalDate.withDayOfWeek(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2428;org.joda.time.MutablePeriod.set(org.joda.time.DurationFieldType,int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;854;org.joda.time.format.DateTimeParserBucket.access$402(org.joda.time.format.DateTimeParserBucket,boolean);False;0;122;1;3706;0.0;0.0;1729.5;1729.5
